type,year,avg_rating,total_votes,count
Movie,2022,6.149557522123893,1254619,113
TV Show,2022,6.35071428571428,1719468,420
Movie,2021,6.273684210526315,3594799,209
TV Show,2021,6.478308823529414,3454773,544
Movie,2020,6.272592592592593,3264949,270
TV Show,2020,6.601094890510947,3211547,548
Movie,2019,6.4525679758308145,5030374,331
TV Show,2019,6.803246753246753,4096105,462
Movie,2018,6.274394463667818,4143933,289
TV Show,2018,6.768639053254441,4352797,507
Movie,2017,6.342138364779875,6133911,318
TV Show,2017,6.7925,5401633,360
Movie,2016,6.278317152103552,7409364,309
TV Show,2016,6.990666666666665,2698220,225
Movie,2015,6.26172839506173,4299416,243
TV Show,2015,7.11870503597122,3695673,139
Movie,2014,6.216161616161618,3841662,198
TV Show,2014,7.159999999999999,2145469,110
Movie,2013,6.229940119760481,5869984,167
TV Show,2013,7.0183908045977,4354323,87
Movie,2012,6.116666666666667,4733147,114
TV Show,2012,7.394202898550725,1298096,69
Movie,2011,5.968965517241376,3096778,87
TV Show,2011,7.501851851851853,3437714,54
Movie,2010,5.801315789473684,2134879,76
TV Show,2010,7.294871794871794,3021941,39
Movie,2009,6.021739130434781,1181657,46
TV Show,2009,7.568,1923641,25
Movie,2008,6.313953488372092,1537076,43
TV Show,2008,7.0625,2330269,24
Movie,2007,6.286666666666665,1390064,30
TV Show,2007,7.453333333333333,747798,15
Movie,2006,6.75,3229686,36
TV Show,2006,7.621052631578948,786652,19
Movie,2005,5.95925925925926,638068,27
TV Show,2005,7.633333333333334,2034338,15
Movie,2004,6.0857142857142845,1464232,21
TV Show,2004,7.41111111111111,78452,9
Movie,2003,6.809090909090909,3336979,11
TV Show,2003,7.419999999999999,553070,10
Movie,2002,6.336842105263158,3030584,19
TV Show,2002,8.52,130585,5
Movie,2001,6.986666666666665,3593675,15
TV Show,2001,7.849999999999999,252988,10
Movie,2000,6.5,2285706,6
TV Show,2000,7.8999999999999995,225150,4
Movie,1999,5.76,25147,5
TV Show,1999,8.52,504240,5
Movie,1998,6.257142857142857,394078,7
TV Show,1998,7.75,419246,10
Movie,1997,6.972727272727273,2734702,11
TV Show,1997,7.859999999999999,426262,5
Movie,1996,6.219999999999999,427098,5
TV Show,1996,7.3999999999999995,56264,3
Movie,1995,6.7,848283,8
TV Show,1995,8.025,153423,4
Movie,1994,7.24,1307865,5
TV Show,1994,7.260000000000001,996101,5
Movie,1993,7.133333333333334,1153520,9
TV Show,1993,6.949999999999999,86442,4
Movie,1992,7.966666666666666,186851,3
TV Show,1992,8.200000000000001,22905,3
Movie,1991,7.0200000000000005,678814,5
Movie,1990,6.62,413363,5
TV Show,1990,8.049999999999999,347910,6
Movie,1989,7.8199999999999985,686996,5
TV Show,1989,8.9,314089,1
Movie,1988,7.65,335702,2
TV Show,1988,8.7,24646,1
Movie,1987,6.333333333333333,87505,3
TV Show,1987,7.3999999999999995,178686,3
Movie,1986,8.0,165884,1
TV Show,1986,8.4,10092,1
Movie,1985,6.45,4783,2
TV Show,1985,7.6,165,1
Movie,1984,7.3,249702,2
TV Show,1984,7.3,36977,3
Movie,1983,5.550000000000001,53884,2
TV Show,1983,6.7,3198,1
Movie,1982,6.1000000000000005,3950,3
TV Show,1982,7.9,54765,1
TV Show,1981,7.2,18686,1
Movie,1980,6.633333333333333,201619,3
Movie,1979,6.125,398597,4
Movie,1978,6.8500000000000005,517017,6
Movie,1977,5.9799999999999995,2070,5
Movie,1976,6.925,822152,4
Movie,1975,6.879999999999998,1142218,5
TV Show,1975,8.350000000000001,94651,2
Movie,1974,6.566666666666667,27853,3
Movie,1973,5.7142857142857135,8883,7
TV Show,1973,6.2,362,1
Movie,1972,5.7,85,1
TV Show,1972,8.1,2165,1
Movie,1971,6.25,204129,4
Movie,1970,6.3,3048,3
Movie,1969,6.314285714285715,182412,7
TV Show,1969,8.8,74089,1
Movie,1968,6.533333333333334,1059042,6
Movie,1967,5.7,10473,3
Movie,1966,6.728571428571428,77256,7
TV Show,1966,8.4,83805,1
Movie,1965,6.44,7054,5
Movie,1964,6.2,4878,2
Movie,1963,5.8,274,1
Movie,1962,7.525,611681,4
Movie,1961,6.966666666666666,188806,3
Movie,1960,6.949999999999999,138385,4
Movie,1959,6.4,164,1
Movie,1958,6.85,104622,2
Movie,1957,7.6,18215,1
Movie,1956,6.928571428571429,96830,7
Movie,1955,6.6000000000000005,12566,3
Movie,1954,6.3999999999999995,3103,3
Movie,1953,6.633333333333333,1335,3
Movie,1952,6.666666666666667,8127,3
Movie,1950,6.5,20823,4
Movie,1948,6.949999999999999,7910,2
Movie,1947,7.0,3811,1
Movie,1946,6.633333333333333,29439,3
Movie,1945,6.900000000000001,4444,3
Movie,1944,5.9,744,1
Movie,1941,7.2,131896,1
Movie,1938,5.4,72,1
Movie,1935,5.6,172,1
Movie,1934,5.9,323,1
Movie,1933,5.7,43,1
Movie,1932,6.5,28188,2
