type,year,count,avg_rating,avg_votes,total_votes
Movie,1932,2,6.5,14094.0,28188
Movie,1933,1,5.7,43.0,43
Movie,1934,1,5.9,323.0,323
Movie,1935,1,5.6,172.0,172
Movie,1938,1,5.4,72.0,72
Movie,1941,1,7.2,131896.0,131896
Movie,1944,1,5.9,744.0,744
Movie,1945,3,6.900000000000001,1481.3333333333333,4444
Movie,1946,3,6.633333333333333,9813.0,29439
Movie,1947,1,7.0,3811.0,3811
Movie,1948,2,6.949999999999999,3955.0,7910
Movie,1950,4,6.5,5205.75,20823
Movie,1952,3,6.666666666666667,2709.0,8127
Movie,1953,3,6.633333333333333,445.0,1335
Movie,1954,3,6.3999999999999995,1034.3333333333333,3103
Movie,1955,3,6.6000000000000005,4188.666666666667,12566
Movie,1956,7,6.928571428571429,13832.857142857143,96830
Movie,1957,1,7.6,18215.0,18215
Movie,1958,2,6.85,52311.0,104622
Movie,1959,1,6.4,164.0,164
Movie,1960,4,6.949999999999999,34596.25,138385
Movie,1961,3,6.966666666666666,62935.333333333336,188806
Movie,1962,4,7.525,152920.25,611681
Movie,1963,1,5.8,274.0,274
Movie,1964,2,6.2,2439.0,4878
Movie,1965,5,6.44,1410.8,7054
Movie,1966,7,6.728571428571428,11036.57142857143,77256
TV Show,1966,1,8.4,83805.0,83805
Movie,1967,3,5.7,3491.0,10473
Movie,1968,6,6.533333333333334,176507.0,1059042
Movie,1969,7,6.314285714285715,26058.85714285714,182412
TV Show,1969,1,8.8,74089.0,74089
Movie,1970,3,6.3,1016.0,3048
Movie,1971,4,6.25,51032.25,204129
Movie,1972,1,5.7,85.0,85
TV Show,1972,1,8.1,2165.0,2165
Movie,1973,7,5.7142857142857135,1269.0,8883
TV Show,1973,1,6.2,362.0,362
Movie,1974,3,6.566666666666667,9284.333333333334,27853
Movie,1975,5,6.879999999999998,228443.6,1142218
TV Show,1975,2,8.350000000000001,47325.5,94651
Movie,1976,4,6.925,205538.0,822152
Movie,1977,5,5.9799999999999995,414.0,2070
Movie,1978,6,6.8500000000000005,86169.5,517017
Movie,1979,4,6.125,99649.25,398597
Movie,1980,3,6.633333333333333,67206.33333333333,201619
TV Show,1981,1,7.2,18686.0,18686
Movie,1982,3,6.1000000000000005,1316.6666666666667,3950
TV Show,1982,1,7.9,54765.0,54765
Movie,1983,2,5.550000000000001,26942.0,53884
TV Show,1983,1,6.7,3198.0,3198
Movie,1984,2,7.3,124851.0,249702
TV Show,1984,3,7.3,12325.666666666666,36977
Movie,1985,2,6.45,2391.5,4783
TV Show,1985,1,7.6,165.0,165
