genre,rank,title,rating,votes,year
Action,1,Vagabond,9.3,187,2019
Action,2,The Lord of the Rings: The Return of the King,9.0,1819157,2003
Action,3,The Lord of the Rings: The Fellowship of the Ring,8.8,1844075,2001
Action,4,The Lord of the Rings: The Two Towers,8.8,1642708,2002
Action,5,Chen qing ling,8.8,6380,2019
Action,6,Hotel Del Luna,8.8,127,2019
Action,7,Lastman,8.6,985,2016
Action,8,Gladiator,8.5,1481531,2000
Action,9,Léon: The Professional,8.5,1147345,1994
Action,10,Princess Mononoke,8.4,390689,1997
Adventure,1,Elesin Oba: The King's Horseman,9.4,72,2022
Adventure,2,The Lord of the Rings: The Return of the King,9.0,1819157,2003
Adventure,3,The Lord of the Rings: The Fellowship of the Ring,8.8,1844075,2001
Adventure,4,The Lord of the Rings: The Two Towers,8.8,1642708,2002
Adventure,5,Chen qing ling,8.8,6380,2019
Adventure,6,Spirited Away,8.6,751180,2001
Adventure,7,Lastman,8.6,985,2016
Adventure,8,Gladiator,8.5,1481531,2000
Adventure,9,Princess Mononoke,8.4,390689,1997
Adventure,10,Beyblade Burst Surge,8.4,38,2021
Animation,1,Spirited Away,8.6,751180,2001
Animation,2,Lastman,8.6,985,2016
Animation,3,Princess Mononoke,8.4,390689,1997
Animation,4,Your Name.,8.4,262352,2016
Animation,5,Beyblade Burst Surge,8.4,38,2021
Animation,6,Violet Evergarden: The Movie,8.3,6641,2020
Animation,7,Rimba Racer,8.3,77,2017
Animation,8,Voltron 84,8.3,60,2017
Animation,9,Gekijouban Shimajirou no wao!: Shimajirou to kujira no uta,8.3,22,2014
Animation,10,Howl's Moving Castle,8.2,390278,2004
Biography,1,David Attenborough: A Life on Our Planet,8.9,32001,2020
Biography,2,Be Here Now,8.5,3417,2015
Biography,3,Lawrence of Arabia,8.3,292337,1962
Biography,4,Major,8.2,25431,2022
Biography,5,The Crash Reel,8.2,4890,2013
Biography,6,A Man Called Ahok,8.2,4326,2018
Biography,7,India's Daughter,8.2,2127,2015
Biography,8,Hachi: A Dog's Tale,8.1,283263,2009
Biography,9,The Dawn Wall,8.1,19774,2017
Biography,10,Requiem for the American Dream,8.1,9838,2015
Comedy,1,CM101MMXI Fundamentals,9.1,46282,2013
Comedy,2,Surau dan Silek,9.0,71,2017
Comedy,3,The Umbilical Brothers: The Rehearsal,8.9,15,2014
Comedy,4,Hotel Del Luna,8.8,127,2019
Comedy,5,Dave Chappelle,8.7,2851,2017
Comedy,6,Norm Macdonald Has a Show,8.5,3643,2018
Comedy,7,Bill Hicks: Revelations,8.5,3109,1993
Comedy,8,Bill Hicks: Relentless,8.5,2555,1992
Comedy,9,Ngeri-Ngeri Sedap,8.5,778,2022
Comedy,10,Mandela,8.4,7055,2021
Crime,1,Flower of Evil,8.7,7700,2020
Crime,2,The Departed,8.5,1310171,2006
Crime,3,Léon: The Professional,8.5,1147345,1994
Crime,4,Signal,8.5,7068,2016
Crime,5,To Kill a Mockingbird,8.3,315380,1962
Crime,6,Tunnel,8.3,2940,2017
Crime,7,Live,8.3,1323,2018
Crime,8,Kill Bill: Vol. 1,8.2,1103348,2003
Crime,9,Taxi Driver,8.2,819599,1976
Crime,10,Inside Job,8.2,75659,2010
Documentary,1,CM101MMXI Fundamentals,9.1,46282,2013
Documentary,2,Hans Zimmer Live in Prague,9.1,2710,2017
Documentary,3,David Attenborough: A Life on Our Planet,8.9,32001,2020
Documentary,4,Greatest Events of WWII in Colour,8.7,8906,2019
Documentary,5,Dave Chappelle,8.7,2851,2017
Documentary,6,Untitled Kanye West Documentary,8.6,1041,2022
Documentary,7,In Our Mothers' Gardens,8.6,141,2021
Documentary,8,Ella Brennan: Commanding the Table,8.6,66,2016
Documentary,9,Be Here Now,8.5,3417,2015
Documentary,10,Bill Hicks: Revelations,8.5,3109,1993
Drama,1,Elesin Oba: The King's Horseman,9.4,72,2022
Drama,2,The Lord of the Rings: The Return of the King,9.0,1819157,2003
