Actor1,Actor2,collaboration_count
Jan Suter,Raúl Campos,15
John Paul Tremblay,Robb Wells,11
John Cleese,Terry Gilliam,10
Jakob Eklund,Jens Hultén,9
Eric Idle,John Cleese,9
John Paul Tremblay,Mike Smith,9
Mike Smith,Robb Wells,9
Dave Chappelle,Stan Lathan,8
Jakob Eklund,Mikael Tornving,8
Jakob Eklund,Richard Holm,7
Jakob Eklund,Meliz Karlge,7
Bruno Corbucci,Tomas Milian,7
Jakob Eklund,Joel Kinnaman,7
John Cleese,Terry Jones,7
Eric Idle,Terry Gilliam,7
Andrea Libman,Ashleigh Ball,6
Andrea Libman,Tara Strong,5
Eric Idle,Terry Jones,5
Jesse V. Johnson,Scott Adkins,5
Bailey Gambertoglio,Sydney Park,5
Terry Gilliam,Terry Jones,5
Nat Faxon,Sean Astin,5
Patrick Roach,Robb Wells,5
John Paul Tremblay,Patrick Roach,5
Chapman Way,Maclain Way,5
Antonio Banderas,Robert Rodriguez,5
Jay Gragnani,Sean Astin,5
Jay Gragnani,Nat Faxon,5
John Dunsworth,John Paul Tremblay,5
Jay Gragnani,Ramone Hamilton,5
Alan C. Lim,Maisie Benson,5
Kana Hanazawa,Mamoru Miyano,5
Amber Frank,Sydney Park,5
Kana Hanazawa,Takahiro Sakurai,5
Graham Chapman,John Cleese,5
John Dunsworth,Robb Wells,5
Ramone Hamilton,Sean Astin,5
Joel Kinnaman,Mikael Tornving,5
Ashleigh Ball,Tara Strong,5
Nat Faxon,Ramone Hamilton,5
Jens Hultén,Meliz Karlge,5
Amber Frank,Bailey Gambertoglio,5
Jolijn Henneman,Niek Roozen,4
Kate McKinnon,Mikaela Blake,4
Noah Kaye Bentley,Zach Callison,4
Gabby Clarke,Kate McKinnon,4
Michael Palin,Terry Gilliam,4
John Dunsworth,Mike Smith,4
Brennley Brown,Noah Kaye Bentley,4
Anders Nilsson,Jakob Eklund,4
Adam Sandler,Steven Brill,4
John Cleese,Michael Palin,4
Graham Chapman,Terry Gilliam,4
Alex Woo,Stanley Moore,4
Jeff Dunham,Matthew McNeil,4
Alan C. Lim,Alex Woo,4
Mamoru Miyano,Takahiro Sakurai,4
Kevin Hart,Leslie Small,4
Djamila,Jolijn Henneman,4
Gabby Clarke,Mikaela Blake,4
Nicolas Cantu,Noah Kaye Bentley,4
Johnny Yong Bosch,Todd Haberkorn,4
Erin Fitzgerald,Fred Tatasciore,4
Alejandro Saab,Amber Lee Connors,4
Djamila,Niek Roozen,4
Ian McKellen,Peter Jackson,4
Kerry Gudjohnsen,Maisie Benson,4
Reina Triendl,You,4
Brennley Brown,Zach Callison,4
Bryce Papenbrook,Cherami Leigh,4
Adam Sandler,Kevin James,4
Alan C. Lim,Kerry Gudjohnsen,4
Azusa Babazono,You,4
Anthony Russo,Joe Russo,4
Nicolas Cantu,Zach Callison,4
Gabriel Iglesias,Manny Rodriguez,4
Jens Hultén,Richard Holm,4
Hiroyuki Seshita,Takahiro Sakurai,4
Meliz Karlge,Mikael Tornving,4
Cherami Leigh,Todd Haberkorn,4
Alan C. Lim,Stanley Moore,4
Azusa Babazono,Reina Triendl,4
Brennley Brown,Nicolas Cantu,4
Adrian Teh,Hairul Azreen,4
Mike Smith,Patrick Roach,4
Hiroyuki Seshita,Kana Hanazawa,4
Michelle Visage,RuPaul,4
Jeff Dunham,Michael Simon,4
Hiroyuki Seshita,Mamoru Miyano,4
Anna-Maria Sieklucka,Michele Morrone,3
Brennley Brown,Greg Rankin,3
Misako Renbutsu,Tsubasa Honda,3
Yoshimi Tokui,You,3
Al Pacino,Joe Pesci,3
Erin Fitzgerald,Judy Greer,3
Allan Jacobsen,Stephen Cooper,3
Allan Jacobsen,Josh Taback,3
Joel Courtney,Vince Marcello,3
Daniel Padilla,Kathryn Bernardo,3
Carla Gugino,Robert Rodriguez,3
Idina Menzel,Jonathan Groff,3
Carol Kane,Jane Krakowski,3
Greg Rankin,T.J. Sullivan,3
Kotono Mitsuishi,Megumi Hayashibara,3
Ian McKellen,Orlando Bloom,3
Brennley Brown,T.J. Sullivan,3
Francesc Orella,Marta Etura,3
Stephen Cooper,Sydney Park,3
Marta Etura,Nene,3
Anna-Maria Sieklucka,Barbara Bialowas,3
Anders Nilsson,Jens Hultén,3
Julia Reichert,Steven Bognar,3
Barbara Bialowas,Michele Morrone,3
Hiroyuki Seshita,Tomokazu Sugita,3
Ashleigh Ball,Tabitha St. Germain,3
Alex Woo,Maisie Benson,3
Jonathan Groff,Josh Gad,3
Elijah Wood,Orlando Bloom,3
Judy Davis,Sarah Paulson,3
Hiroyuki Seshita,Kôbun Shizuno,3
Alexa PenaVega,Robert Rodriguez,3
Ashleigh Ball,Vincent Tong,3
Blair Simmons,Simon Greenall,3
Javier Colinas,Luis Arrieta,3
Jacob Elordi,Joey King,3
Martin Scorsese,Robert De Niro,3
Iliza Shlesinger,Steve Paley,3
Asami,Naoyuki Tomomatsu,3
Josh Taback,Sydney Park,3
Jacob Elordi,Vince Marcello,3
Amanda Rawles,Jefri Nichol,3
Greg Rankin,Nicolas Cantu,3
Bae Doona,Jamie Clayton,3
Daryl Sabara,Robert Rodriguez,3
Ryôsuke Yamada,Tsubasa Honda,3
Cornelia Agatha,Rano Karno,3
Asami,Yui Aikawa,3
Anders Nilsson,Mikael Tornving,3
Bailey Gambertoglio,Darcy Rose Byrnes,3
Kôbun Shizuno,Tomokazu Sugita,3
Erwin van den Eshof,Niek Roozen,3
Honor Kneafsey,Rose McIver,3
Darcy Rose Byrnes,Sydney Park,3
Bente Fokkens,Jolijn Henneman,3
Greg Rankin,Noah Kaye Bentley,3
Bear Grylls,Ben Simms,3
Margherita Fumero,Tomas Milian,3
Anna Cathcart,Noah Centineo,3
Amber Frank,Josh Taback,3
Bob Bryan,Justin Bua,3
Mikaela Blake,Richard Weston,3
Bill Burr,Jay Karas,3
Andrea Libman,Tabitha St. Germain,3
Ben Lamb,Rose McIver,3
America Ferrera,Jay Baruchel,3
Alice Krige,Honor Kneafsey,3
Jochem Myjer,Joep Krijnen,3
Bryce Papenbrook,Cristina Valenzuela,3
Michele Morrone,Tomasz Mandes,3
Fred Tatasciore,Judy Greer,3
Mamoru Miyano,Tomokazu Sugita,3
Maisie Benson,Stanley Moore,3
Joko Anwar,Tara Basro,3
Alexa PenaVega,Carla Gugino,3
Antoni Porowski,Tan France,3
Alba August,Mikkel Boe Følsgaard,3
Anthony C. Ferrante,Tara Reid,3
Sam Palladio,Vanessa Hudgens,3
Erin Fitzgerald,Jeff Gill,3
Kunihiko Yuyama,Sarah Natochenny,3
T.J. Sullivan,Zach Callison,3
Cynthia Nixon,Sarah Paulson,3
Ashleigh Ball,Erin Mathews,3
Aya Hirano,Tomokazu Sugita,3
Anthony Alabi,Tia Mowry-Hardrict,3
Kana Hanazawa,Tomokazu Sugita,3
Amber Frank,Stephen Cooper,3
Carrie Keranen,Toshiyuki Kubooka,3
Barbara Bialowas,Tomasz Mandes,3
Bruno Corbucci,Enzo Cannavale,3
Anna-Maria Sieklucka,Tomasz Mandes,3
Laura Linney,Olympia Dukakis,3
Alexa PenaVega,Daryl Sabara,3
Blair Simmons,Teresa Gallagher,3
Andrew Jones,Lee Bane,3
Jonathan Groff,Kristen Bell,3
Adam Carolla,Nate Adams,3
Fumihiko Sori,Tsubasa Honda,3
Carla Gugino,Daryl Sabara,3
Greg Rankin,Zach Callison,3
Adipati Dolken,Rako Prijanto,3
Fernando González Molina,Francesc Orella,3
Ata Demirer,Hakan Algül,3
Ben Lamb,Honor Kneafsey,3
Matthew McNeil,Michael Simon,3
Cecilia Suárez,Manolo Caro,3
Reina Triendl,Yoshimi Tokui,3
Dian Sastrowardoyo,Nicholas Saputra,3
Nicolas Cantu,T.J. Sullivan,3
Andrea Libman,Ishi Rudell,3
Jeffrey Friedman,Rob Epstein,3
John Sparkes,Justin Fletcher,3
Ario Bayu,Joko Anwar,3
Al Pacino,Robert De Niro,3
Bente Fokkens,Niek Roozen,3
Kotono Mitsuishi,Megumi Ogata,3
Fernando González Molina,Marta Etura,3
Mark Landre Gould,Mister D,3
Harald Reinl,Pierre Brice,3
Elijah Wood,Ian McKellen,3
Angga Dwimas Sasongko,Rio Dewanto,3
Josh Swickard,Shaun Paul Piccinino,3
Mark Wahlberg,Peter Berg,3
Idina Menzel,Josh Gad,3
Gabby Clarke,Richard Weston,3
Marie Richardson,Richard Holm,3
Mike Rohl,Vanessa Hudgens,3
Ishi Rudell,Tara Strong,3
Jessica Mila,Rocky Soraya,3
Dario Yazbek Bernal,Manolo Caro,3
Megumi Hayashibara,Megumi Ogata,3
Jamie Clayton,Tina Desai,3
Adrian Teh,Henley Hii,3
Kate McKinnon,Richard Weston,3
Lana Condor,Noah Centineo,3
Fernando González Molina,Nene,3
Simon Greenall,Teresa Gallagher,3
Angga Dwimas Sasongko,Chicco Jerikho,3
Bae Doona,Tina Desai,3
Orlando Bloom,Peter Jackson,3
Josh Taback,Stephen Cooper,3
Lauren Swickard,Shaun Paul Piccinino,3
Eric Peterson,Jamie Watson,3
Dwayne Johnson,Jake Kasdan,3
Antonio Banderas,Daryl Sabara,3
Bailey Gambertoglio,Josh Taback,3
Bruno Corbucci,Margherita Fumero,3
Ellie Kemper,Jane Krakowski,3
Allan Jacobsen,Amber Frank,3
Antoni Porowski,Karamo Brown,3
Dean Fujioka,Tsubasa Honda,3
Junior Marques,Whindersson Nunes,3
Tabitha St. Germain,Tara Strong,3
Minori Chihara,Tomokazu Sugita,3
Noah Kaye Bentley,T.J. Sullivan,3
Alejandro Montiel,Luisana Lopilato,3
Keishi Otomo,Takeru Satoh,3
Mike Rohl,Sam Palladio,3
Joel Courtney,Joey King,3
Anna Cathcart,Lana Condor,3
Idina Menzel,Kristen Bell,3
Djamila,Erwin van den Eshof,3
Anthony C. Ferrante,Ian Ziering,3
Antonio Banderas,Carla Gugino,3
Elissa Down,Keslee Blalock,3
Dean Fujioka,Ryôsuke Yamada,3
Erwin van den Eshof,Jolijn Henneman,3
