title,year,certificate,duration,genre,rating,description,stars,votes,type
Elesin Oba: The King's Horseman,2022,Unknown,96 min,"Adventure, Drama, History",9.4,"Inspired by true life events, in the Oyo Empire in the 1940's, Elesin Oba, the king's chief horseman, succumbs to the lure of beauty and sexual desire on the very evening he is set to die ...                See full summary »","['Biyi Bandele', '| ', '    Stars:', 'Odunlade Adekola, ', 'Shaffy Bello, ', 'Olawale-Brymo Olofooro, ', 'Deyemi Okanlawon']",72,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",9.3,The plan to get Woo Gi safely to the courthouse takes an unanticipated turn and throws the Blue House into panic mode.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",187,Movie
Hans Zimmer Live in Prague,2017,Unknown,150 min,"Documentary, Music",9.1,The renowned film score composer leads a concert featuring his cinematic compositions.,"['Tim Van Someren', '| ', '    Stars:', 'Hans Zimmer, ', 'Yolanda Charles, ', 'Michael Einziger, ', 'Nick Glennie-Smith']",2710,Movie
"#ABtalks",2018,Unknown,Unknown,Unknown,9.1,"#ABtalks is an interview show hosted by Anas Bukhash, showcasing the 'raw' side of celebrities, athletes, entrepreneurs, and influencers as human beings.","['Karen Wazen, ', 'Deema Al Asadi, ', 'Hala Abdallah, ', 'Mina Al Sheikhly']",15,Movie
"#HappyBirthdaySense8",2017,Unknown,15 min,Short,9.0,Add a Plot,"['Josh Oreck', '| ', '    Stars:', 'Freema Agyeman, ', 'Jamie Clayton, ', 'Tina Desai, ', 'Bae Doona']",844,Movie
Surau dan Silek,2017,Unknown,90 min,"Comedy, Drama, Family",9.0,An eleven-year-old boy discovers the true meaning of silek (a martial art) when he meets a 60-year-old retired university teacher and former silek warrior that he is resolved to put an end to his feud with his competitors.,"['Arief Malinmudo', '| ', '    Stars:', 'Randu Arini, ', 'Barry F. Cheln, ', 'Gilang Dirga, ', 'Dewi Irawan']",71,Movie
The Sense8 Experience,2017,Unknown,4 min,Short,8.9,Add a Plot,"['Josh Oreck', '| ', '    Stars:', 'Aml Ameen, ', 'Jamie Clayton, ', 'Tina Desai, ', 'Bae Doona']",800,Movie
The Umbilical Brothers: The Rehearsal,2014,Unknown,92 min,Comedy,8.9,"The outrageous comedy duo uses elements of multimedia, mime and audience participation in a show that takes viewers inside their creative process.","['David Collins, ', 'Shane Dundas, ', 'Jim Hare', '| ', '    Stars:', 'David Collins, ', 'Shane Dundas, ', 'Paul Michael Ayre, ', 'Stephen Whitehead']",15,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.9,"Han Do Kyung joins the staff as a new intern. Tae Joon makes a controversial proposal for the upcoming government audit, which has everyone on edge.","['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",15,Movie
Chen qing ling,2019,Unknown,50 min,"Action, Adventure, Drama",8.8,Two talented disciples of respectable magical clans unit during the cultivation training and through many hardships they are together.,"['Zhan Xiao, ', 'Yibo Wang, ', 'Zhuocheng Wang, ', 'Lu Xuan']",6380,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.8,The NIS takes Dal Geon to a safe house. Tae Woong questions Oh Sang Mi about her husband's involvement in the plane crash but is ordered to release her.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",156,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.8,Dal Geon runs into trouble while trying to carry out his own search. Tae Woong is displeased that the operation in Morocco doesn't go as planned.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",141,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.8,"After running from the embassy, Dal Geon and the others head back to Korea another way. Min Jae Shik confronts Kang Joo Cheol.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",139,Movie
Hotel Del Luna,2019,Unknown,82 min,"Action, Comedy, Drama",8.8,Choi Seo Hee prepares to move on to the next life. The killer ghost terrorizes Chan Seong's friends. Man Wol witnesses a startling relationship.,"['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",127,Movie
Hotel Del Luna,2019,Unknown,83 min,"Action, Comedy, Drama",8.8,"As the hotel and its staff wait for Man Wol, Ma Go Shin sends Chan Seong through time to collect an ingredient to brew a powerful drink.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",100,Movie
